mes,Total Volumen,Total Porcentaje de Llenado Completo,Total Energia GWh,Total Ingresos Energia,Total Demanda Riego,Total Riego Entregado,Total Satisfaccion Riego,Volumen Embalse Potrerillos,Carrizal Volumen Embalse,Nihuil Volumen Embalse,Agua Del Toro Volumen Embalse,Potrerillos Satisfaccion Riego,Carrizal Satisfaccion Riego,Nihuil Satisfaccion Riego,Agua Del Toro Satisfaccion Riego,Potrerillos Generacion GWh,Carrizal Generacion GWh,Nihuil Generacion GWh,Agua Del Toro Generacion GWh,Crisis Hidrica,Conviene Riego,Conviene Energia
0,1760.0,0.6330935251798561,96.86904198979128,7749523.359183303,449.0,157.11,0.3499109131403118,1200.0,120.0,200.0,240.0,0.5,0.8,0.65,0.65,80.21508620689654,1.691,5.724980625000001,9.237975157894736,0,0,1
1,1417.5287459012684,0.5099024265831901,95.69515905441821,7655612.724353458,493.0,164.65649766616403,0.3339888390794402,1009.3266004378434,82.31110099098078,150.96537863118988,174.9256658412545,0.5,0.8,0.4665844522573721,0.65,81.79972385616031,1.515723966788255,3.79311018861768,8.58660104285196,0,0,1
2,1051.6778957380839,0.37830140134463447,72.72810984406692,5818248.787525354,470.0,131.89213850724707,0.28062157129201504,794.0795339536749,39.63410478887279,115.99665913451912,101.96759786101715,0.5,0.35869999133517594,0.21172048854510603,0.6337595235785846,71.00988837618179,0.10047039397653816,0.29566319950107256,1.3220878744075186,0,1,0
3,759.0466514551742,0.2730383638327965,13.20567840247305,1056454.272197844,314.0,105.21796333745075,0.3350890552148113,569.8890241703024,27.42815345399756,109.89977065069425,51.82970318018012,0.85,0.2016213080370766,0.197995413013885,0.18045309935867979,12.784211504049296,0.03424514410178706,0.17817448703671016,0.20904726728525594,1,1,0
4,577.1608605913418,0.20761182035659778,6.838767519754279,547101.4015803423,180.0,55.925546279622516,0.3106974793312362,408.15303516190204,22.044018257501182,103.17541667384938,43.788390498089214,0.85,0.09709086723130617,0.10991826947940174,0.10028092494942038,6.709629108803143,0.008966211912807581,0.0554521729299877,0.06472002610834084,1,1,0
5,474.8744795528893,0.1708181581125501,5.564536410848486,445162.9128678789,155.0,45.496093756297206,0.29352318552449813,312.8009811222257,20.213486791296525,100.8772760553066,40.98273558406042,0.85,0.01193014421951168,0.03588856589890616,0.030498690539806177,5.53186934351561,0.0009202419624316306,0.015159467816466658,0.01658735755397819,1,1,0
6,383.5133572132598,0.13795444504074092,5.2517879947447765,420143.0395795821,155.0,44.37,0.286258064516129,225.38482982046725,19.193568756200445,99.58519588197068,39.349762754621416,0.85,0.0,0.0,0.0,5.2517879947447765,0.0,0.0,0.0,1,1,0
7,291.1034044255082,0.10471345482931949,2.061580936829698,164926.47494637582,224.0,18.420541834204066,0.08223456175983958,136.1187094788315,18.086846997702636,98.77413284788426,38.12371510108979,0.24560722445605424,0.0,0.0,0.0,2.061580936829698,0.0,0.0,0.0,1,1,0
8,255.14966758442,0.0917804559656187,0.03949672182094063,3159.7377456752506,359.0,0.3611608723654811,0.0010060191430793345,100.70815857326565,17.700655037676828,98.84925488564835,37.89159908782918,0.003009673936379009,0.0,0.0,0.0,0.03949672182094063,0.0,0.0,0.0,1,1,0
9,272.58044338182685,0.098050519202096,0.6320648348084348,50565.18678467478,449.0,6.72842177869324,0.014985349173036169,110.47401747575233,19.5385131911494,101.68557026597449,40.8823424489506,0.03561165941755793,0.0,0.023338665221185256,0.00945366909589931,0.5879431699217461,0.0,0.029235291862619497,0.014886373024069175,1,1,0
10,310.4767117338358,0.11168227040785461,1.9360071972465378,154880.575779723,515.0,26.562452425735383,0.051577577525699775,128.49080186983002,25.325071518631628,107.76859833003822,48.89224001533594,0.084380423656291,0.08722099901206977,0.09448295266262696,0.08336475014377448,1.6181922471004382,0.02408441790936249,0.13850104488690312,0.1552294873498339,1,1,0
11,341.3769283409516,0.12279745623775239,3.1247523580646797,249980.18864517438,470.0,42.8673023972048,0.0912070263770315,145.28447497979923,29.409844749496575,112.30595387266219,54.376654738993665,0.14691528142301274,0.17191062523118741,0.16287291890288189,0.14703396892152612,2.60002971023304,0.04415559189905771,0.22383590803505385,0.2567311478975279,1,1,0
12,353.68596660924527,0.12722516784505225,3.614716424545062,289177.3139636049,449.0,49.352698528920236,0.10991692322699384,152.11207103858985,30.85462303618381,114.1210015359392,56.59827099853237,0.17718104153120545,0.20623783768749238,0.19552155972838892,0.17783861784141827,3.0051426529452763,0.05158654543421855,0.25888896908458203,0.299098257080985,1,1,0
13,388.0223612105993,0.139576388924676,5.006752221641274,400540.1777313019,493.0,67.44424864428193,0.13680374978556173,171.1500920778325,34.88921176310966,119.18833256404501,62.794724805612105,0.2199184664223914,0.2571772940900759,0.2432323846146551,0.22299187309837928,4.152891759810937,0.07325589357266667,0.3595257799303663,0.4210787883273037,1,1,0
14,366.83164566912626,0.13195382937738354,4.155854823517596,332468.3858814077,470.0,56.26681244978018,0.11971662223357486,159.6620122096553,32.25280515805521,115.91909417853529,58.99773412288047,0.19355996327559927,0.2238493250029317,0.21069389353943765,0.19429500807491396,3.457113299921834,0.05894293411705475,0.2941313634686094,0.34566722601009775,1,1,0
15,342.1843074748201,0.12308788038662594,3.176252979312856,254100.23834502848,314.0,43.273598086210306,0.13781400664398186,146.1402017277767,29.275936721358367,112.20339847911931,54.56477054656572,0.22410955124920118,0.25177542529401276,0.2440679695823863,0.2221744659645618,2.650615747738043,0.043475640481879026,0.22187095276644853,0.26029063832648514,1,1,0
16,300.7581117097889,0.10818637111862911,1.5717287081811175,125738.2966544894,180.0,21.436623335606498,0.11909235186448054,123.38200062994814,24.290101040631555,105.97523089757122,47.11077914163797,0.19874700535455914,0.20377979942999885,0.2068349156851577,0.18822650669041685,1.3236284297490286,0.01921900426997609,0.10567594553205312,0.12320532863005984,1,1,0
17,273.4915952659624,0.09837827167840375,0.5445235171797225,43561.8813743778,155.0,7.064505913920661,0.04557745750916556,108.38406252032127,21.018878197019546,101.88598910439127,42.20266544423035,0.08191325450888592,0.05693731100991582,0.07715409972509746,0.06835858275197633,0.4699813969070923,0.0044259906616567835,0.03274151326396453,0.03737461634700882,1,1,0
