mes,Total Volumen,Total Porcentaje de Llenado Completo,Total Energia GWh,Total Ingresos Energia,Total Demanda Riego,Total Riego Entregado,Total Satisfaccion Riego,Volumen Embalse Potrerillos,Carrizal Volumen Embalse,Nihuil Volumen Embalse,Agua Del Toro Volumen Embalse,Potrerillos Satisfaccion Riego,Carrizal Satisfaccion Riego,Nihuil Satisfaccion Riego,Agua Del Toro Satisfaccion Riego,Potrerillos Generacion GWh,Carrizal Generacion GWh,Nihuil Generacion GWh,Agua Del Toro Generacion GWh,Crisis Hidrica,Conviene Riego,Conviene Energia
0,1760.0,0.6330935251798561,325.55326733124315,26044261.386499453,449.0,269.4,0.6,1200.0,120.0,200.0,240.0,1.0,1.0,1.0,1.0,271.8414511470326,8.455,8.807662500000001,36.44915368421052,0,0,1
1,1898.1785980595841,0.6827980568559655,378.95464094899944,30316371.275919955,493.0,295.8,0.6,1193.6080115983436,164.94268525706485,281.75485896379496,257.87304224038064,1.0,1.0,1.0,1.0,284.11849453086387,18.567083530420103,35.07366938322787,41.19539350448758,0,0,1
2,1929.4084152086168,0.6940318040318766,217.44915556003997,17395932.444803197,470.0,270.43208665608574,0.5753874184172038,1187.6645903269032,174.82493177910266,294.12406911103244,272.7948239915786,0.9264127649878228,1.0,1.0,1.0,155.0234469847058,13.08190560840734,24.016827835604754,25.326975131322065,0,0,1
3,1897.2040113534022,0.6824474860983462,88.36868971793218,7069495.177434575,314.0,130.8440485011837,0.4167007914050436,1182.0483285372707,165.74484832133163,283.0187281330975,266.39210636170236,0.5943497652877877,1.0,0.7224055677777618,0.7890500795470735,66.28772105574123,3.3935477606088704,10.327341626009227,8.360079275572861,0,0,1
4,1868.259550905871,0.6720358096783708,56.052986214651185,4484238.897172094,180.0,81.80384745623788,0.4544658192013215,1176.9465463298334,157.78235797717252,272.90217770286347,260.62846889600155,0.6511427558958088,1.0,0.8269075680245835,0.8742903941816582,41.41662971287162,2.7085860912184296,6.657062603297157,5.270707807263984,0,0,1
5,1842.8014735632798,0.6628782279004604,36.17292381948006,2893833.9055584045,155.0,56.179305890585645,0.3624471347779719,1172.5257352753965,150.92051001471418,263.82384044754656,255.5313878256226,0.5,1.0,0.649189840195882,0.65,27.621424852741235,0.92785227001536,4.319149772828987,3.3044969238944777,0,0,1
6,1813.563069770543,0.6523608164642242,33.702094751663026,2696167.5801330423,155.0,54.15,0.34935483870967743,1161.7669618924062,145.0758471857334,255.75124097510795,250.96901971729542,0.5,0.8,0.65,0.65,27.5065211530109,0.6457608793450937,2.279154783622158,3.27065793568487,0,0,1
7,1749.4351541199396,0.6292932209064531,47.72498357300633,3817998.6858405066,224.0,78.36,0.34982142857142856,1125.455961976202,138.52296988369338,247.38248351159376,238.07373874845047,0.5,0.8,0.65,0.65,38.963677692393446,0.9224320682502734,3.2405778073564377,4.598296005006171,0,0,1
8,1671.0957059344685,0.60111356328578,74.9819238816581,5998553.910532648,359.0,126.33621164563088,0.3519114530518966,1081.1866890966996,130.59624742488185,237.28194242587568,222.03082698701127,0.5,0.8139737692969495,0.6625269609776956,0.65,61.25499733230517,1.4480752042225764,5.218382174379528,7.060469170750828,0,0,1
9,1628.9986296227098,0.5859707300801115,134.46390993545552,10757112.794836441,449.0,220.039680059674,0.4900661025827929,1056.9163656357996,127.7911972727828,232.185826127081,212.10524058704647,0.7024312553012779,1.0,1.0,0.9062498365968713,106.52215284229923,5.382884999635931,10.51454192187478,12.044330171645571,0,0,1
10,1631.8213711564115,0.5869861047325221,198.99582216050683,15919665.772840546,515.0,289.3690628280126,0.5618816753941992,1066.2810923047393,125.37450707745539,227.59980114149823,212.56597063271846,0.8859992034147075,1.0,1.0,1.0,154.82972753478953,8.222529027450452,14.664981533610462,21.2785840646564,0,0,1
11,1660.6619479523033,0.5973604129324832,226.33765021020923,18107012.01681674,470.0,282.0,0.6,1074.536748810583,132.29014823009726,240.90633322341304,212.92871768820982,1.0,1.0,1.0,1.0,169.8021538172229,10.810567181555305,20.718954214489372,25.005974996941653,0,0,1
12,1688.4343617545057,0.6073504898397503,367.6459524282636,29411676.19426109,449.0,269.4,0.6,1081.7894263228172,138.87356699912596,249.14468148961694,218.62668694294564,1.0,1.0,1.0,1.0,302.20012074145825,12.72629537422459,24.46414245179836,28.25539386078242,0,0,1
