mes,Total Volumen,Total Porcentaje de Llenado Completo,Total Energia GWh,Total Ingresos Energia,Total Demanda Riego,Total Riego Entregado,Total Satisfaccion Riego,Volumen Embalse Potrerillos,Carrizal Volumen Embalse,Nihuil Volumen Embalse,Agua Del Toro Volumen Embalse,Potrerillos Satisfaccion Riego,Carrizal Satisfaccion Riego,Nihuil Satisfaccion Riego,Agua Del Toro Satisfaccion Riego,Potrerillos Generacion GWh,Carrizal Generacion GWh,Nihuil Generacion GWh,Agua Del Toro Generacion GWh,Conviene Riego,Conviene Energia
0,1760.0,0.6330935251798561,134.74595592844747,10779676.4742758,449.0,213.13281510185803,0.47468332984823614,1200.0,120.0,200.0,240.0,0.6857145579445189,1.0,0.9348717929048116,0.8693577675970743,110.00930475768708,4.147069075954755,8.234035232675476,12.355546862130153,0,1
1,1747.200683292322,0.6284894544216986,158.66056404888516,12692845.123910813,493.0,244.9233397550443,0.49680190619684444,1193.6080115983436,118.2533654756735,198.061478467825,237.27782775047984,0.7383077295223764,1.0,0.8977459296350176,0.9394671699529065,129.9728889344588,5.572674511700776,8.584001222275225,14.530999380450348,0,1
2,1747.8334516976029,0.6287170689559722,157.41885989931058,12593508.791944845,470.0,242.08131373714858,0.5150666249726565,1187.664590326903,116.59944249694405,208.82563089361952,234.74378798013626,0.7589894942580161,1.0,1.0,0.9615182810566,127.00728236036645,5.710212023715669,10.560273586446579,14.141091928781867,0,1
3,1735.9018188305195,0.6244251146872373,116.35489400858128,9308391.520686502,314.0,169.9746046618406,0.5413203970122312,1182.0483285372704,114.9841653573985,206.52288237385983,232.34644256199078,0.8245200443984819,1.0,1.0,1.0,91.9585703571186,4.5282488549634525,8.941956218646364,10.926118577852858,0,1
4,1724.2203778742683,0.6202231575087296,181.13504623893033,14490803.699114425,180.0,108.0,0.6,1176.9465463298334,113.5294548804103,203.57781748355433,230.1665591804701,1.0,1.0,1.0,1.0,136.6154092979232,7.875720702925977,15.481658320994711,21.162257917086414,0,1
5,1714.141425229368,0.6165976349745929,197.7636436479189,15821091.491833514,155.0,93.0,0.6,1172.5257352753965,112.34105603292147,200.99863899879767,228.27599492225235,1.0,1.0,1.0,1.0,149.0996408111359,8.55785192247402,16.82174473396046,23.28440618034851,0,1
6,1705.7604450190356,0.6135828938917395,141.79273989937823,11343419.19195026,155.0,93.0,0.6,1168.8145326042436,111.44247704776029,198.81590216217927,226.6875332048524,1.0,1.0,1.0,1.0,106.88435444270402,6.172642842772794,12.152458905097658,16.583283708803762,0,1
7,1699.0334104636386,0.6111630972890786,153.11798821265384,12249439.057012307,224.0,134.4,0.6,1165.7896323072914,110.82626667806835,197.02585885815233,225.39165262012654,1.0,1.0,1.0,1.0,115.58979669981163,6.689916393501263,13.10202657610246,17.73624854323848,0,1
8,1693.5462021294952,0.609189281341545,132.62282137188745,10609825.709750995,359.0,195.12493882499413,0.5435235064763068,1163.2883568062814,110.40487504774008,195.53392670003342,224.3190435754404,0.8310411568749513,1.0,1.0,1.0,105.16116933753158,5.134568025074142,9.745990767824331,12.581093241457408,0,1
9,1689.3293446139626,0.6076724261201304,136.9180384729847,10953443.077838777,449.0,218.46629497492296,0.48656190417577494,1161.3166388166862,110.18846237988997,194.35168687553642,223.47255654184988,0.7098049064462375,1.0,0.9435168687553641,0.8967936731453994,112.18879254108371,4.311847158943607,8.161809358286092,12.255589414671297,0,1
10,1688.692660733975,0.6074434031417176,124.3129161104076,9945033.288832609,515.0,208.16278430785454,0.4041995811803001,1159.6044134239935,110.02853306826677,196.32298722838254,222.73672701333203,0.5680273502813464,0.9726006763069731,0.7881420283107126,0.72063307286334,102.99893710017949,2.267955973747121,7.810993188702114,11.23502984777888,0,1
11,1684.8352625778107,0.6060558498481333,103.47532007081469,8278025.605665174,470.0,173.39939768802233,0.36893488869791985,1157.9583912964945,109.8231273936957,195.02487575359848,222.02886813402196,0.5184516231157349,0.902473838302731,0.7152124095307046,0.6545634937562664,85.7656231553451,1.8847293827003004,6.486453206733364,9.338514326035927,0,1
12,1681.0392843698244,0.6046903900610879,147.79296161798106,11823436.929438485,449.0,230.6972743314413,0.5138023927203592,1156.3599661577034,109.57145734062328,193.76678898531364,221.34107188618407,0.7681697640829098,1.0,0.9376678898531364,0.9702928971177082,121.17999186687888,5.325351354029733,8.095944542605386,13.19167385446708,0,1
