mes,Total Volumen,Total Porcentaje de Llenado Completo,Total Energia GWh,Total Ingresos Energia,Total Demanda Riego,Total Riego Entregado,Total Satisfaccion Riego,Volumen Embalse Potrerillos,Carrizal Volumen Embalse,Nihuil Volumen Embalse,Agua Del Toro Volumen Embalse,Potrerillos Satisfaccion Riego,Carrizal Satisfaccion Riego,Nihuil Satisfaccion Riego,Agua Del Toro Satisfaccion Riego,Potrerillos Generacion GWh,Carrizal Generacion GWh,Nihuil Generacion GWh,Agua Del Toro Generacion GWh,Crisis Hidrica,Conviene Riego,Conviene Energia
0,1760.0,0.6330935251798561,147.4680009818499,11797440.078547992,449.0,228.8668336447278,0.509725687404739,1200.0,120.0,200.0,240.0,0.7474212769614117,1.0,1.0,0.9474928988197633,119.90892432865667,5.285389750764561,8.807662500000001,13.46602440242868,0,0,1
1,1749.1024151760157,0.6291735306388546,160.94571571942154,12875657.257553723,493.0,247.9161655985035,0.5028725468529482,1193.6080115983436,118.2533654756735,199.9632103515188,237.27782775047984,0.7478789472469455,1.0,0.9151561511054538,0.9516392620591517,131.6578216102791,5.765227269410158,8.803398333428929,14.719268506303361,0,0,1
2,1749.269134356288,0.6292335015670101,106.43512063063,8514809.6504504,470.0,175.81922701589303,0.37408346173594265,1187.664590326903,116.59944249694405,210.2613135523049,234.74378798013626,0.5244014924511249,0.9157248232454331,0.7287774376785983,0.6643670162884822,87.75195035742638,1.9794111017880374,6.93288404935129,9.770875122064286,0,0,1
3,1736.3970423646604,0.6246032526491584,67.34390323914629,5387512.2591317035,314.0,109.86,0.3498726114649682,1182.0483285372704,114.9841653573985,207.01810590800065,232.34644256199078,0.5,0.8,0.65,0.65,55.76490891995585,1.1545345934981532,4.051371942736575,6.373087782955713,0,0,1
4,1609.2823845853513,0.5788785556062415,37.274463372594376,2981957.06980755,180.0,63.0,0.35,1110.8497677186783,101.78180431085786,189.88554845179777,206.76526410401726,0.5,0.8,0.6500000000000001,0.65,30.991638527856875,0.6158670084568771,2.2167789821143042,3.45017885416632,0,0,1
5,1543.909069314319,0.555362974573496,31.74534521939071,2539627.6175512564,155.0,54.15,0.34935483870967743,1074.8455958648913,94.94391994271203,180.94861055780143,193.17094294891416,0.5,0.8,0.65,0.65,26.57820096383704,0.50417494829687,1.8209984901613978,2.8419708170954023,0,0,1
6,1455.4737654627402,0.5235517141952303,30.98719953109725,2478975.96248778,155.0,54.15,0.34935483870967743,1025.2982205946957,85.39976710579892,168.86165444838016,175.91412331386525,0.5,0.8,0.65,0.65,26.049034995951352,0.4772197155780042,1.746967470404182,2.7139773491637107,0,0,1
7,1338.8179478055777,0.48158918985812144,42.675167370637325,3414013.389650986,224.0,80.61,0.3598660714285714,960.096874574884,72.54354156297181,152.61371168388214,153.5638199838397,0.5,0.95,0.65,0.65,36.4262710064077,0.16209937732288573,2.3962922960205377,3.690504690886198,0,1,0
8,1185.1957633431293,0.42632941127450696,60.07339328009445,4805871.462407556,359.0,128.6383441891069,0.35832407852118914,874.4220967430442,55.582890750922985,131.22076015661747,123.97001569254455,0.5,0.8450936553344208,0.3902595019577184,0.9,56.17857009934646,0.20565283752300012,2.1519929760794945,1.5371773671454956,0,1,0
9,1018.6197699421741,0.3664099891878324,68.45501483606392,5476401.186885114,449.0,125.12327846715122,0.2786709988132544,766.8949119435487,39.72850492978212,125.19962385071307,86.7967292181303,0.5,0.3748415936658603,0.34891786870218094,0.5013935273371103,66.92324040102615,0.10103080296722897,0.4842069313565982,0.9465367007139487,0,1,0
