mes,Total Volumen,Total Porcentaje de Llenado Completo,Total Energia GWh,Total Ingresos Energia,Total Demanda Riego,Total Riego Entregado,Total Satisfaccion Riego,Volumen Embalse Potrerillos,Carrizal Volumen Embalse,Nihuil Volumen Embalse,Agua Del Toro Volumen Embalse,Potrerillos Satisfaccion Riego,Carrizal Satisfaccion Riego,Nihuil Satisfaccion Riego,Agua Del Toro Satisfaccion Riego,Potrerillos Generacion GWh,Carrizal Generacion GWh,Nihuil Generacion GWh,Agua Del Toro Generacion GWh,Crisis Hidrica,Conviene Riego,Conviene Energia
0,1760.0,0.6330935251798561,96.86904198979128,7749523.359183303,449.0,157.11,0.3499109131403118,1200.0,120.0,200.0,240.0,0.5,0.8,0.65,0.65,80.21508620689654,1.691,5.724980625000001,9.237975157894736,0,0,1
1,1344.9367268932015,0.4837901895299286,91.94185380248587,7355348.3041988695,493.0,164.55030449156237,0.3337734371025606,969.4228049295024,73.58782859850069,140.0647235651718,161.86136980002658,0.5,0.9256079485195573,0.36678972277974176,0.65,80.45262675951665,0.3497863958839596,2.8602389145918354,8.279201732493416,0,1,0
2,911.0901582521376,0.3277302727525675,21.23849835120102,1699079.8680960815,470.0,155.85952264688382,0.3316160056316677,710.0535968269651,22.659315909689482,103.92453873908477,74.45270677639824,0.85,0.048583656042404,0.05194242448788662,0.35235722839498207,20.492214732749456,0.011733212722846918,0.06876791658237358,0.6657824891463424,0,1,0
3,619.5147598303101,0.2228470359101835,12.107786128733018,968622.8902986414,314.0,91.54490836610464,0.2915442941595689,455.3083880240856,20.782253024779465,101.58823384716027,41.835884934284834,0.85,0.021232582101156895,0.03176467694320536,0.028005024421294083,12.045759059369022,0.003390406830402719,0.02753474815300095,0.031101914380591903,1,1,0
4,438.97026651549936,0.1579029735667264,6.239666491480788,499173.3193184631,180.0,51.0,0.2833333333333333,280.54146304253595,19.236309044246006,99.65862124202764,39.53387318668975,0.85,0.0,0.0,0.0,6.239666491480788,0.0,0.0,0.0,1,1,0
5,330.0542002437221,0.11872453246177055,4.484337536486909,358747.0029189527,155.0,39.04914487599614,0.2519299669419106,176.56695073724734,17.585531650166214,98.20212967961513,37.69958817669342,0.7480679095018418,0.0,0.0,0.0,4.484337536486909,0.0,0.0,0.0,1,1,0
6,241.221647318543,0.08677037673328886,0.0,0.0,155.0,0.0,0.0,94.12534241914435,15.565270711059398,96.27466549352796,35.25636869481129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
7,228.61324700846015,0.08223498093829502,0.0,0.0,224.0,0.0,0.0,87.90829627304251,13.590126685342428,94.37936916601855,32.73545488405667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
8,217.99342102257177,0.07841489964840712,0.0,0.0,359.0,0.0,0.0,82.66918465215639,11.918522069395681,92.84526381677055,30.56045048424915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
9,214.14936052236365,0.07703214407279269,0.0,0.0,449.0,0.0,0.0,81.08211576931774,11.101848157953082,92.36806936325877,29.597327231834054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
