mes,Total Volumen,Total Porcentaje de Llenado Completo,Total Energia GWh,Total Ingresos Energia,Total Demanda Riego,Total Riego Entregado,Total Satisfaccion Riego,Volumen Embalse Potrerillos,Carrizal Volumen Embalse,Nihuil Volumen Embalse,Agua Del Toro Volumen Embalse,Potrerillos Satisfaccion Riego,Carrizal Satisfaccion Riego,Nihuil Satisfaccion Riego,Agua Del Toro Satisfaccion Riego,Potrerillos Generacion GWh,Carrizal Generacion GWh,Nihuil Generacion GWh,Agua Del Toro Generacion GWh,Crisis Hidrica,Conviene Riego,Conviene Energia
0,1760.0,0.6330935251798561,96.86904198979128,7749523.359183303,449.0,157.11,0.3499109131403118,1200.0,120.0,200.0,240.0,0.5,0.8,0.65,0.65,80.21508620689654,1.691,5.724980625000001,9.237975157894736,0,0,1
1,1318.991691727681,0.47445744306751114,91.00636386570629,7280509.109256503,493.0,161.25787952905787,0.3270950903226326,955.1530355884661,70.47442437863825,136.17296829034373,157.1912634702329,0.5,0.871830966540115,0.3311609773059637,0.65,79.97089902900373,0.3229372730480486,2.54321215496678,8.169315408687735,0,1,0
2,871.9213442237381,0.3136407713035029,20.75285289063614,1660228.2312508915,470.0,148.34920902981858,0.3156366149570608,684.6579113892656,20.231843306781137,100.89019798544933,66.14139154224205,0.85,0.004235598873886156,0.011782032160358823,0.26735514077293004,20.24717614252755,0.0009995450961151385,0.015383675793659603,0.4892935272188153,0,1,0
3,589.026157320215,0.2118799127051133,11.894523357764282,951561.8686211426,314.0,90.28899501605189,0.28754457011481493,427.1115981965685,20.171102976091984,100.82429628630092,40.91915986125362,0.85,0.004644223636782411,0.016485925726018424,0.014021082629292483,11.86403561044616,0.0007372439081763727,0.014240495342137246,0.015510008067806827,1,1,0
4,418.42103875739326,0.15051116502064507,6.18125949313765,494500.75945101195,180.0,52.01453195304436,0.28896962196135756,256.5508323531949,20.154016492575323,100.80575555243928,40.91043435918373,0.85,0.007315783397327848,0.027891538353667374,0.024099733037216436,6.151314789493836,0.0006635128277502353,0.013918998359967905,0.015362192456095524,1,1,0
5,322.69262193306815,0.11607648270973675,3.5584148151343675,284673.1852107494,155.0,32.032956580110934,0.2066642360007157,160.85814076631408,20.156165308118272,100.80218681533506,40.87612904330076,0.5945910304754823,0.00872688486543284,0.03281673335461619,0.027190211688644193,3.5291037622949375,0.000672783998885791,0.013857122608350906,0.014781146232193296,1,1,0
6,266.7959161008081,0.09596975399309643,0.2916649030370875,23333.192242966998,155.0,3.539533007764083,0.022835696824284407,104.60917747795126,20.267121255541966,100.9317635572238,40.987853810091046,0.045032193750098544,0.014927364280286322,0.0381176000682465,0.030657532037308328,0.257733697762844,0.0011520301606360965,0.016105058788638483,0.016674116324968874,1,1,0
7,267.84489725368394,0.09634708534305178,0.32343926107241566,25875.140885793255,224.0,4.0996540420283045,0.018302026973340647,105.03226751396991,20.479251681935047,101.17269830705561,41.16067975072341,0.03421941909499541,0.018211563913531778,0.03298213988593908,0.024871708944073083,0.2814702460298341,0.0020711204514438737,0.020291967887114935,0.01960592670402272,1,1,0
8,268.65707537395053,0.09663923574602537,0.34821517513935135,27857.21401114811,359.0,4.533173884539537,0.012627225305124059,105.36318412702528,20.641623547233923,101.35742985472784,41.294837844963475,0.02279353253985743,0.015238559246805675,0.023493978254904926,0.017393344186076524,0.3000447934127898,0.0027771491005962852,0.023508445407438634,0.02188478721852667,1,1,0
9,268.91814103814875,0.09673314425832688,0.35446214354534855,28356.971483627884,449.0,4.674275609897404,0.01041041338507217,105.43214196325764,20.714790273160226,101.43713577724175,41.33407302448914,0.01846928267507596,0.01358101519004429,0.01989880306950115,0.014293639548097965,0.3039164534995574,0.0030960099156348126,0.02489793207147096,0.022551748058685366,1,1,0
10,268.99386171502437,0.09676038191187927,0.3540793233695793,28326.345869566347,515.0,4.717436039176414,0.009160069978983328,105.40441334676835,20.762770448877305,101.48618580180607,41.340492117572616,0.016006102246526474,0.012493653904024819,0.018075232724668454,0.012567113602243274,0.3023595792285953,0.003305349086656207,0.025753507086374024,0.022660887967953805,1,1,0
11,268.9536110695587,0.09674590326243118,0.35534775836338334,28427.820669070665,470.0,4.693409219041248,0.00998597706178989,105.44230904769894,20.724283763683697,101.44753154861118,41.339486709564895,0.017656346147114886,0.013232107221144472,0.019158505790442103,0.013699295893277334,0.3044873173806287,0.003137415168947319,0.02507923258033182,0.02264379323347553,1,1,0
